mapTarget,mapTargetName
R07.9,"Chest pain, unspecified"
P36.9,"Bacterial sepsis of newborn, unspecified"
A41.9,"Sepsis, unspecified organism"
Q04.8,Other specified congenital malformations of brain
I26.99,Other pulmonary embolism without acute cor pulmonale
K03.0,Excessive attrition of teeth
N42.89,Other specified disorders of prostate
M62.830,Muscle spasm of back
L75.2,Apocrine miliaria
Z28.311,Partially vaccinated for COVID-19
Z28.39,Other underimmunization status
I31.8,Other specified diseases of pericardium
Z60.5,Target of (perceived) adverse discrimination and persecution
Q79.69,Other Ehlers-Danlos syndromes
Q93.59,Other deletions of part of a chromosome
Q74.2,"Other congenital malformations of lower limb(s), including pelvic girdle"
Q70.33,"Webbed toes, bilateral"
Q72.73,"Split foot, bilateral"
Q71.63,"Lobster-claw hand, bilateral"
Q93.89,Other deletions from the autosomes
E79.8,Other disorders of purine and pyrimidine metabolism
Q84.8,Other specified congenital malformations of integument
Q82.8,Other specified congenital malformations of skin
Q04.9,"Congenital malformation of brain, unspecified"
Q11.2,Microphthalmos
Q87.0,Congenital malformation syndromes predominantly affecting facial appearance
Q79.0,Congenital diaphragmatic hernia
Q74.9,Unspecified congenital malformation of limb(s)
Q73.8,Other reduction defects of unspecified limb(s)
Q18.8,Other specified congenital malformations of face and neck
Q02,Microcephaly
Q04.3,Other reduction deformities of brain
E75.29,Other sphingolipidosis
Q92.2,Partial trisomy
E34.9,"Endocrine disorder, unspecified"
H47.039,"Optic nerve hypoplasia, unspecified eye"
Q78.0,Osteogenesis imperfecta
Q87.19,Other congenital malformation syndromes predominantly associated with short stature
Q93.88,Other microdeletions
Q82.4,Ectodermal dysplasia (anhidrotic)
Q84.2,Other congenital malformations of hair
Q84.6,Other congenital malformations of nails
D70.0,Congenital agranulocytosis
Q76.49,"Other congenital malformations of spine, not associated with scoliosis"
P04.3,Newborn affected by maternal use of alcohol
F89,Unspecified disorder of psychological development
K00.0,Anodontia
Q99.8,Other specified chromosome abnormalities
Q41.9,"Congenital absence, atresia and stenosis of small intestine, part unspecified"
Q43.9,"Congenital malformation of intestine, unspecified"
Q43.6,Congenital fistula of rectum and anus
Q18.0,"Sinus, fistula and cyst of branchial cleft"
Q18.2,Other branchial cleft malformations
Q43.8,Other specified congenital malformations of intestine
D22.9,"Melanocytic nevi, unspecified"
Q87.40,"Marfan's syndrome, unspecified"
Q52.71,Congenital absence of vulva
Q55.29,Other congenital malformations of testis and scrotum
Q87.89,"Other specified congenital malformation syndromes, not elsewhere classified"
H18.519,"Endothelial corneal dystrophy, unspecified eye"
H18.559,"Macular corneal dystrophy, unspecified eye"
H18.549,"Lattice corneal dystrophy, unspecified eye"
H18.509,"Unspecified hereditary corneal dystrophies, unspecified eye"
H18.599,"Other hereditary corneal dystrophies, unspecified eye"
Q74.8,Other specified congenital malformations of limb(s)
H90.5,Unspecified sensorineural hearing loss
Q91.7,"Trisomy 13, unspecified"
Q43.0,Meckel's diverticulum (displaced) (hypertrophic)
Q07.9,"Congenital malformation of nervous system, unspecified"
H74.20,"Discontinuity and dislocation of ear ossicles, unspecified ear"
Q12.0,Congenital cataract
E72.03,Lowe's syndrome
H42,Glaucoma in diseases classified elsewhere
E75.21,Fabry (-Anderson) disease
N08,Glomerular disorders in diseases classified elsewhere
Q78.8,Other specified osteochondrodysplasias
Q15.9,"Congenital malformation of eye, unspecified"
Q87.5,Other congenital malformation syndromes with other skeletal changes
M26.04,Mandibular hypoplasia
E88.1,"Lipodystrophy, not elsewhere classified"
Q43.3,Congenital malformations of intestinal fixation
Q06.8,Other specified congenital malformations of spinal cord
D17.79,Benign lipomatous neoplasm of other sites
Q85.9,"Phakomatosis, unspecified"
Q79.59,Other congenital malformations of abdominal wall
Q55.1,Hypoplasia of testis and scrotum
Q31.8,Other congenital malformations of larynx
Q74.0,"Other congenital malformations of upper limb(s), including shoulder girdle"
Q64.33,Congenital stricture of urinary meatus
Q05.2,Lumbar spina bifida with hydrocephalus
Q05.6,Thoracic spina bifida without hydrocephalus
Q05.7,Lumbar spina bifida without hydrocephalus
Q05.8,Sacral spina bifida without hydrocephalus
M87.037,Idiopathic aseptic necrosis of right carpus
M87.038,Idiopathic aseptic necrosis of left carpus
Q85.09,Other neurofibromatosis
O99.891,Other specified diseases and conditions complicating pregnancy
O36.90X0,"Maternal care for fetal problem, unspecified, unspecified trimester, not applicable or unspecified"
M35.9,"Systemic involvement of connective tissue, unspecified"
Z3A.00,Weeks of gestation of pregnancy not specified
D37.05,Neoplasm of uncertain behavior of pharynx
Z12.4,Encounter for screening for malignant neoplasm of cervix
Z12.72,Encounter for screening for malignant neoplasm of vagina
Z12.11,Encounter for screening for malignant neoplasm of colon
Z12.9,"Encounter for screening for malignant neoplasm, site unspecified"
D70.2,Other drug-induced agranulocytosis
T50.905?,"Adverse effect of unspecified drugs, medicaments and biological substances, episode of care unspecified"
H40.001,"Preglaucoma, unspecified, right eye"
H40.002,"Preglaucoma, unspecified, left eye"
H40.003,"Preglaucoma, unspecified, bilateral"
H40.009,"Preglaucoma, unspecified, unspecified eye"
T14.8XX?,"Other injury of unspecified body region, episode of care unspecified"
Q76.6,Other congenital malformations of ribs
Q33.3,Agenesis of lung
Q72.33,"Congenital absence of foot and toe(s), bilateral"
Q72.30,Congenital absence of unspecified foot and toe(s)
Q71.32,Congenital absence of left hand and finger
Q71.31,Congenital absence of right hand and finger
Q71.33,"Congenital absence of hand and finger, bilateral"
Q71.30,Congenital absence of unspecified hand and finger
Q50.01,"Congenital absence of ovary, unilateral"
Q72.40,Longitudinal reduction defect of unspecified femur
Q44.7,Other congenital malformations of liver
Q72.50,Longitudinal reduction defect of unspecified tibia
Q75.8,Other specified congenital malformations of skull and face bones
T38.0X5?,"Adverse effect of glucocorticoids and synthetic analogues, episode of care unspecified"
Q75.0,Craniosynostosis
Q72.60,Longitudinal reduction defect of unspecified fibula
Q62.4,Agenesis of ureter
Q55.0,Absence and aplasia of testis
Q71.40,Longitudinal reduction defect of unspecified radius
Q89.2,Congenital malformations of other endocrine glands
Q89.01,Asplenia (congenital)
Q64.5,Congenital absence of bladder and urethra
Q10.3,Other congenital malformations of eyelid
Q71.899,Other reduction defects of unspecified upper limb
Q32.1,Other congenital malformations of trachea
Q32.4,Other congenital malformations of bronchus
Q40.2,Other specified congenital malformations of stomach
M26.09,Other specified anomalies of jaw size
Q52.6,Congenital malformation of clitoris
Q44.5,Other congenital malformations of bile ducts
Q79.1,Other congenital malformations of diaphragm
Q39.1,Atresia of esophagus with tracheo-esophageal fistula
Q39.8,Other congenital malformations of esophagus
Q76.7,Congenital malformation of sternum
Q55.4,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate"
S06.379?,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration, episode of care unspecified"
S01.90X?,"Unspecified open wound of unspecified part of head, episode of care unspecified"
E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication
H11.89,Other specified disorders of conjunctiva
R89.8,"Other abnormal findings in specimens from other organs, systems and tissues"
H40.019,"Open angle with borderline findings, low risk, unspecified eye"
Q70.9,"Syndactyly, unspecified"
Q68.1,Congenital deformity of finger(s) and hand
Q66.89,Other specified congenital deformities of feet
R89.4,"Abnormal immunological findings in specimens from other organs, systems and tissues"
Q15.0,Congenital glaucoma
H40.50X0,"Glaucoma secondary to other eye disorders, unspecified eye, stage unspecified"
E05.90,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
I50.9,"Heart failure, unspecified"
I43,Cardiomyopathy in diseases classified elsewhere
B20,Human immunodeficiency virus [HIV] disease
Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
N94.89,Other specified conditions associated with female genital organs and menstrual cycle
M25.569,Pain in unspecified knee
O14.90,"Unspecified pre-eclampsia, unspecified trimester"
O16.9,"Unspecified maternal hypertension, unspecified trimester"
P00.0,Newborn affected by maternal hypertensive disorders
Z91.040,Latex allergy status
T65.811?,"Toxic effect of latex, accidental (unintentional), episode of care unspecified"
T78.3XX?,"Angioneurotic edema, episode of care unspecified"
T78.2XX?,"Anaphylactic shock, unspecified, episode of care unspecified"
T78.40X?,"Allergy, unspecified, episode of care unspecified"
S43.499?,"Other sprain of unspecified shoulder joint, episode of care unspecified"
Q60.5,"Renal hypoplasia, unspecified"
E74.4,Disorders of pyruvate metabolism and gluconeogenesis
T81.718?,"Complication of other artery following a procedure, not elsewhere classified, episode of care unspecified"
I77.1,Stricture of artery
E71.540,Rhizomelic chondrodysplasia punctata
P02.3,Newborn affected by placental transfusion syndromes
I97.89,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified"
I38,"Endocarditis, valve unspecified"
Q91.3,"Trisomy 18, unspecified"
I77.810,Thoracic aortic ectasia
Q87.2,Congenital malformation syndromes predominantly involving limbs
Q64.79,Other congenital malformations of bladder and urethra
Q90.9,"Down syndrome, unspecified"
Q33.8,Other congenital malformations of lung
Q75.9,"Congenital malformation of skull and face bones, unspecified"
Q13.3,Congenital corneal opacity
E70.1,Other hyperphenylalaninemias
Q69.0,Accessory finger(s)
R89.5,"Abnormal microbiological findings in specimens from other organs, systems and tissues"
F40.298,Other specified phobia
O35.7XX0,"Maternal care for (suspected) damage to fetus by other medical procedures, not applicable or unspecified"
P96.5,Complication to newborn due to (fetal) intrauterine procedure
P00.7,"Newborn affected by other medical procedures on mother, not elsewhere classified"
P00.6,Newborn affected by surgical procedure on mother
O99.519,"Diseases of the respiratory system complicating pregnancy, unspecified trimester"
J98.9,"Respiratory disorder, unspecified"
P00.3,Newborn affected by other maternal circulatory and respiratory diseases
N28.9,"Disorder of kidney and ureter, unspecified"
P00.1,Newborn affected by maternal renal and urinary tract diseases
N39.9,"Disorder of urinary system, unspecified"
Z57.6,Occupational exposure to extreme temperature
X58.XXX?,"Exposure to other specified factors, episode of care unspecified"
P00.9,Newborn affected by unspecified maternal condition
K05.6,"Periodontal disease, unspecified"
P00.81,Newborn affected by periodontal disease in mother
G56.23,"Lesion of ulnar nerve, bilateral upper limbs"
G56.22,"Lesion of ulnar nerve, left upper limb"
G56.21,"Lesion of ulnar nerve, right upper limb"
J95.03,Malfunction of tracheostomy stoma
H74.8X9,"Other specified disorders of middle ear and mastoid, unspecified ear"
H65.199,"Other acute nonsuppurative otitis media, unspecified ear"
H65.90,"Unspecified nonsuppurative otitis media, unspecified ear"
H66.91,"Otitis media, unspecified, right ear"
H65.192,"Other acute nonsuppurative otitis media, left ear"
H65.193,"Other acute nonsuppurative otitis media, bilateral"
W88.8XX?,"Exposure to other ionizing radiation, episode of care unspecified"
Z15.89,Genetic susceptibility to other disease
M00.819,"Arthritis due to other bacteria, unspecified shoulder"
M00.849,"Arthritis due to other bacteria, unspecified hand"
M48.061,"Spinal stenosis, lumbar region without neurogenic claudication"
G95.9,"Disease of spinal cord, unspecified"
S20.211?,"Contusion of right front wall of thorax, episode of care unspecified"
S20.212?,"Contusion of left front wall of thorax, episode of care unspecified"
S20.229?,"Contusion of unspecified back wall of thorax, episode of care unspecified"
S20.20X?,"Contusion of thorax, unspecified, episode of care unspecified"
S40.019?,"Contusion of unspecified shoulder, episode of care unspecified"
S20.221?,"Contusion of right back wall of thorax, episode of care unspecified"
S20.222?,"Contusion of left back wall of thorax, episode of care unspecified"
S20.219?,"Contusion of unspecified front wall of thorax, episode of care unspecified"
I05.0,Rheumatic mitral stenosis
M48.04,"Spinal stenosis, thoracic region"
L41.1,Pityriasis lichenoides chronica
O03.7,Embolism following complete or unspecified spontaneous abortion
S06.2XAS,"Diffuse traumatic brain injury with loss of consciousness status unknown, sequela"
L70.5,Acné excoriée
G93.89,Other specified disorders of brain
C71.9,"Malignant neoplasm of brain, unspecified"
T82.868?,"Thrombosis due to vascular prosthetic devices, implants and grafts, episode of care unspecified"
Y82.9,Unspecified medical devices associated with adverse incidents
M62.50,"Muscle wasting and atrophy, not elsewhere classified, unspecified site"
K00.4,Disturbances in tooth formation
O99.330,"Smoking (tobacco) complicating pregnancy, unspecified trimester"
B06.01,Rubella encephalitis
O99.840,"Bariatric surgery status complicating pregnancy, unspecified trimester"
M77.42,"Metatarsalgia, left foot"
M77.41,"Metatarsalgia, right foot"
M77.40,"Metatarsalgia, unspecified foot"
B65.9,"Schistosomiasis, unspecified"
P29.0,Neonatal cardiac failure
I50.83,High output heart failure
B81.0,Anisakiasis
O99.350,"Diseases of the nervous system complicating pregnancy, unspecified trimester"
G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus"
R20.2,Paresthesia of skin
Z60.8,Other problems related to social environment
S36.029?,"Unspecified contusion of spleen, episode of care unspecified"
S31.609?,"Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, episode of care unspecified"
Q65.89,Other specified congenital deformities of hip
Q65.01,"Congenital dislocation of right hip, unilateral"
Q65.4,"Congenital partial dislocation of hip, bilateral"
Q65.32,"Congenital partial dislocation of left hip, unilateral"
Q65.02,"Congenital dislocation of left hip, unilateral"
Q65.31,"Congenital partial dislocation of right hip, unilateral"
S98.911?,"Complete traumatic amputation of right foot, level unspecified, episode of care unspecified"
S98.912?,"Complete traumatic amputation of left foot, level unspecified, episode of care unspecified"
T79.9XX?,"Unspecified early complication of trauma, episode of care unspecified"
H90.3,"Sensorineural hearing loss, bilateral"
H92.03,"Otalgia, bilateral"
H92.02,"Otalgia, left ear"
H92.01,"Otalgia, right ear"
N64.4,Mastodynia
H90.11,"Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
H90.71,"Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
H90.0,"Conductive hearing loss, bilateral"
H90.6,"Mixed conductive and sensorineural hearing loss, bilateral"
H90.2,"Conductive hearing loss, unspecified"
H91.90,"Unspecified hearing loss, unspecified ear"
H90.12,"Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
H90.72,"Mixed conductive and sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
Q93.2,"Chromosome replaced with ring, dicentric or isochromosome"
P00.5,Newborn affected by maternal injury
O9A.219,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester"
